style_id,name_vi,name_en,family,origin,silhouette,length_datum,fringe,face_frame,texture_finish,colour_note,face_fit,signature_tell,confused_with,discriminator,photographs_as,use_when,avoid_when,prompt_phrasing,lock_class,evidence_grade,source
us-curly-bob,Tóc bob xoăn tự nhiên,Natural curly bob,short,Western,"Chin-to-jaw bob cut on natural type-3 curl, rounded volume silhouette",Curled length chin to jaw; stretches longer,Optional curly fringe at brow,Spiral curls at cheek and jaw,"Defined springy curls, natural sheen, no flat-ironing",Natural depth; balayage shows curl dimension,Rounded volume balances long narrow faces,Uniform springy curl clusters forming a rounded bob silhouette,kr-c-curl-bob,Curly bob is natural spiral texture throughout; the Korean C-curl bob is straight hair with one ironed inward curve at the ends only,"Warm, individual, texture-forward; catches rim light in every curl","Beauty campaigns celebrating natural texture, lifestyle, global-audience casting",Sleek-glass-hair briefs,"natural curly bob: jaw-length type-3 spiral curls, defined springy clusters, rounded silhouette, natural sheen",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
af-afro-round,Tóc afro tròn,Rounded afro,natural-texture,African diaspora,Type-4 coils picked out into one even rounded halo,"10-20cm radius from the scalp, even all around",None as such; the halo frames the whole face,Even circular frame around the entire head,"Dense matte coils, softly defined edge",Natural black-brown; sunlit edges glow,The circular halo centres and softens all face shapes,One even spherical silhouette with a soft cloud edge,us-curly-bob,Afro is dense type-4 coil volume shaped as a sphere; a curly bob is looser type-3 spirals cut into a bob line,"Iconic, proud, sculptural; backlight turns the edge luminous","Global campaigns, beauty, fashion editorial, culture-forward brands",Never for texture reasons; only when a tied-back style is functionally required,"rounded afro: dense type-4 coils picked into an even spherical halo, soft cloud edge, natural black, matte",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
af-box-braids,Tóc box braids,Box braids,natural-texture,African diaspora,"Free-hanging plaits from square-sectioned partings, uniform width",Braids shoulder to waist; parting grid visible at the scalp,None; braids fall from the grid,Front braids frame the face and move independently,Smooth uniform plaits; low sheen,"Natural, or ombre and colour strands braided in",Vertical lines lengthen; parting grid flatters a visible hairline,Square parting grid at the scalp feeding uniform free-swinging plaits,af-cornrows-back,Box braids hang free from square partings; cornrows are braided flat against the scalp in continuous rows,"Graphic, rhythmic, strong in motion shots","Fashion, music, sport, global youth brands",Only when a bare-scalp-line brief demands otherwise,"waist-length box braids: square parting grid, uniform medium-width plaits hanging free, natural black, low sheen",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
af-cornrows-back,Tóc cornrows tết sát da đầu,Straight-back cornrows,natural-texture,African diaspora,"Parallel raised braids lying flat against the scalp, front hairline to nape",Rows follow the skull; ends free or tucked at the nape,None; the hairline is the design edge,Face fully open; the row pattern is the frame,Tight glossy rows with visible scalp lines between,Natural,Exposes and celebrates the hairline and bone structure,Raised braid rows with clean scalp partings running front to back,af-box-braids,Cornrows are braided flat to the scalp in attached rows; box braids detach and swing free from a square grid,"Athletic, precise, sculptural in profile","Sport, streetwear, performance brands",Romantic-soft briefs wanting loose movement,"straight-back cornrows: parallel raised braids flat against the scalp, clean parting lines, front hairline to nape, natural black",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-space-buns,Tóc hai búi,Space buns,updo,Western,Two symmetric buns high on either side of the crown,Buns at ten and two o clock above the ears,Optional wispy fringe and face pieces,Face open; two round silhouettes read from every angle,Smooth or deliberately fuzzy buns,Playful colours amplify the read,"Adds width high up - balances long faces, exaggerates round ones",Twin symmetric buns making a double-round top silhouette,us-slick-bun,Space buns are two high side-set buns; the slick bun is a single centred bun with glass-smooth tension,"Playful, festival-coded, youthful","Bubble tea, festivals, gaming, youth F&B",Any premium or formal brief,"space buns: two symmetric high buns above the ears, soft face-framing strands, playful finish",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
vn-braid-single,Tóc tết đuôi sam,Single back braid,updo,Vietnam,All hair in one three-strand braid falling centre-back,Braid from nape to mid-back or waist,Optional; face-framing wisps loosened at the temples,Soft loose strands at temples; face otherwise open,"Neat plait, softly loosened for volume",Natural black reads most vernacular,Centre braid keeps symmetry; wisps soften wide cheekbones,One centred three-strand braid down the spine,us-high-braided-pony,The đuôi sam starts braiding at the nape and hangs low; a braided pony starts at a high tight ponytail base,"Wholesome, nostalgic, áo dài-compatible","Traditional F&B, Tết campaigns, school-nostalgia, countryside stories",High-fashion editorial wanting tension,"single low back braid: neat three-strand plait from the nape to mid-back, soft loose temple strands, natural black",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-half-up-claw,Tóc kẹp càng cua nửa đầu,Claw-clip half twist,updo,Western,"Top half twisted back into a claw clip, ends fanned, lower half loose",Clip at the occiput; loose length shoulder-plus,Face-framing pieces pulled out at both temples,Two soft front pieces; volume held back off the face,"Casual, lightly waved; the fan of ends above the clip is the flourish",Any,Lifts the face diagonally; universally easy,Visible claw clip holding a twist with a spray of ends fanning above it,us-butterfly,Claw half-up restrains the top half with a visible clip; the butterfly cut is a full loose blowout with no accessory,"Off-duty, coffee-run realism, relatable luxury","Lifestyle UGC-flavoured content, cafe brands, everyday-premium skincare","Formal events, retro briefs","claw-clip half-up: top section twisted back into a large claw clip, ends fanned above it, loose waves below, two face-framing strands",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-hollywood-waves,Tóc sóng Hollywood,Hollywood waves,glam,Western,"Deep uniform S-waves sculpted to one side, ridges aligned like corrugation","Shoulder to chest length, side-parted, one side often pinned behind the ear",None; deep side part sweeps across the forehead,One deep wave breaking at the cheekbone,High-gloss brushed-out waves with aligned ridges,Rich single tones photograph best,The diagonal sweep flatters asymmetry; classic red-carpet grammar,Continuous aligned S-ridges - each wave crest lines up with the next,us-beach-waves,"Hollywood waves are one sculpted aligned S-pattern with high gloss; beach waves are broken, irregular and matte","Old-money glamour, evening, jewellery-ready","Jewellery, fragrance, fine dining, evening-wear campaigns",Casual daylight lifestyle - it reads costume,"Hollywood waves: deep side part, sculpted uniform S-waves with aligned ridges, high-gloss brushed finish, one side tucked behind the ear",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-blunt-lob,Tóc lob cắt bằng,Blunt lob,short,Western,"One-length blunt cut at the collarbone, no layers, sharp perimeter",Perimeter exactly at the collarbone all round,None or centre-parted; the perimeter is the statement,Straight panels ending in one clean horizontal line,Straight or one soft bend; glass to satin finish,Single-process colour shows the line best,The horizontal line widens at the collarbone - balances narrow shoulders,A ruler-straight cut line at the collarbone with zero graduation,us-french-bob,The lob perimeter sits at the collarbone; the French bob ends at the jaw with a fringe,"Expensive-minimal, modern professional","Skincare, fintech, minimalist fashion, clean-girl adjacent casting",Romantic volume briefs,"blunt collarbone lob: one-length sharp perimeter, no layers, centre part, satin-gloss straight finish",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
jp-jellyfish,Tóc sứa jellyfish,Jellyfish cut,statement,Japan,Hime-style rounded top tier sitting over a disconnected long straight under-layer,Top tier jaw-length all round; under-layer waist-length,Blunt brow-length fringe continuous with the top tier,The bell of the top tier shadows jaw and cheeks,Both tiers straight; the disconnect line is sharp,Two-tone dye splits the tiers dramatically,Bold geometry that overrides face shape - casting statement first,"A bob-shaped bell floating over long straight lengths, like a jellyfish body over tentacles",jp-hime,Hime keeps three blunt tiers close to the face in one silhouette; jellyfish disconnects a full bob bell from a separate waist-length under-layer,"Avant-garde, cosplay-adjacent, unforgettable","Statement editorial, alt-fashion, event visuals that must be remembered","Mainstream trust casting, corporate, everyday F&B","jellyfish cut: jaw-length rounded bob tier with blunt fringe sitting disconnected over pin-straight waist-length under-layer, sharp tier line",signature-capable,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-balletcore-bun,Tóc búi thấp balletcore,Balletcore low bun,updo,Western,"Soft low bun at the nape, smooth crown, deliberate face-framing wisps",Bun centred at the nape; wisps at temples and ears,"Fine curved face-framing wisps, not a cut fringe",Two soft arcs falling from the temples,Smooth but not wet; matte-satin,Soft single tones,The low centre of mass reads calm and elongates the neck,Nape-level soft bun plus intentional loose wisps - polished but breathing,us-slick-bun,Balletcore sits low and soft with loose wisps; the slick bun sits high with wet-gel tension and zero loose hair,"Quiet luxury, gallery-soft, daylight-friendly","Skincare, tea and patisserie, wellness, quiet-luxury fashion",High-energy sport or nightlife briefs,"balletcore low bun: soft bun at the nape, smooth satin crown, fine curved face-framing wisps at both temples",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
ed-gel-waves,Tóc finger waves gel,Sculpted gel finger waves,editorial,Editorial,Wet-look waves moulded flat against the skull in precise ridged arcs,Pattern covers crown to ears; longer length pinned or wrapped away,The first wave arc replaces a fringe on the forehead,One sculpted ridge curving onto the cheekbone,"High-gloss gel, cast-hard ridges",Dark hair shows the ridge shadows best,Graphic arcs redraw the hairline - editorial control,Hard shiny ridges lying flat on the skull in parallel arcs,us-hollywood-waves,"Finger waves are gelled flat to the scalp as sculpture; Hollywood waves are dry, brushed, and swing off the head with volume","1920s-futurist, beauty-campaign precision, award-show editorial","Beauty closeups, jewellery, avant-garde fashion",Any casual or motion-heavy brief - the cast cracks,"sculpted finger waves: high-gloss gel waves moulded flat against the skull in precise parallel ridged arcs, length pinned away",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
us-high-braided-pony,Tóc đuôi ngựa tết cao,High braided ponytail,updo,Western,Glass-smooth crown into a high ponytail braided to the tip,"Base at the crown; braid to mid-back or longer, often with added length",None or baby hairs styled at the hairline,Face fully open; maximum lift at the temples,"Sleek crown, uniform braid; high sheen",High-contrast colour shows the braid pattern,The high base lifts the whole face - the snatched effect,Tension-smooth crown feeding one high braid that swings as a unit,cn-douyin-pony,The braided pony plaits the length into one rope; the Douyin pony leaves the length loose and curled with face-framing pieces,"Performance-glam, arena-stage, athletic luxury","Sportswear, stagewear, nightlife, music visuals",Soft romantic or vernacular briefs,"high braided ponytail: glass-smooth crown, high base, single uniform braid to mid-back, styled baby hairs",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
vn-soft-updo,Tóc búi thấp dự tiệc,Soft occasion updo,updo,Vietnam,"Loosely pinned low volume updo with curved face-framing pieces, wedding-adjacent",Volume pinned at the occiput to nape; front pieces cheek-length,"Curved face-framing pieces both sides, curled outward",Soft S-curved strands from temple past the cheekbone,"Curled, teased for air, pinned soft; satin sheen",Warm dark brown reads bridal-VN,Face-framing curves soften square jaws; the low mass elongates the neck,Airy pinned volume low at the back plus two long curled face pieces,vn-low-chignon,"The soft updo is teased, airy and curled with loose face pieces; the low chignon is smooth, tight and unornamented","Occasion-ready, áo dài and wedding compatible, warm-elegant","Wedding venues, banquet F&B, jewellery, Tết formal campaigns",Minimalist modern briefs - it reads styled-for-an-event,"soft Vietnamese occasion updo: airy pinned low volume at the nape, two long curled face-framing pieces, satin sheen, warm dark brown",styling,craft-heuristic,"Recall, unverified 2026-08-07 - verify against current salon references before client-facing claims"
