term_id,term,meaning_vi,meaning_en,register,origin,platform_fit,freshness,brand_risk,use_when,avoid_when,example_line,evidence_grade,source
pick-me,pick me,Hạ mình/dìm người khác để được chú ý,Self-lowering for attention,borrowed-en,TikTok EN 2021 vào VN,"Comment, video",fresh,high,"Nghe-hiểu khi đọc comment cộng đồng","Gắn nhãn pick me cho bất kỳ ai từ miệng brand - là công kích cá nhân giới tính hoá",(chỉ để nghe-hiểu; không dùng chủ động),recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
chot-don,chốt đơn,Xác nhận mua hàng,Closing the order,commerce,Livestream commerce 2019+ thành từ nghề,"Livestream, caption, comment",dated-stable,safe,"Mọi ngữ cảnh bán hàng trực tiếp - đã là động từ chuẩn của social commerce VN","Không có - đây là từ nghề, không còn là slang rủi ro",Chị Hà ở Đà Nẵng chốt đơn 2 hộp rồi nha cả nhà,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
sop,sốp,Shop/chủ tiệm (khách gọi thân mật),Shop-owner (affectionate phonetic),commerce,Phiên âm shop trên TikTok Shop 2022+,"Comment, livestream, DM",fresh,safe,"Tự xưng sốp khi trả lời comment trên kênh TMĐT giọng trẻ - khớp cách khách đang gọi mình","Website, bao bì, văn bản - chỉ sống trong hội thoại","Sốp ơi có size L không? - Có nha, sốp để lại 1 slot cho mình",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
san-sale,săn sale,Canh mua hàng giảm giá,Deal hunting,commerce,TMĐT VN 2018+ thành từ nghề,"Caption, chiến dịch",dated-stable,safe,"Mọi content khuyến mãi - từ nghề chuẩn, khách tự dùng","Không có rủi ro giọng; chỉ cần deal thật để săn",Đội săn sale 12.12 đã sẵn sàng chưa?,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
chien-than,chiến thần,Người cực giỏi một việc (chiến thần review/chốt đơn),War-god of a craft (top livestreamer/reviewer),commerce,Danh xưng livestream 2022+ (Võ Hà Linh...),"Caption, video",fresh,caution,"Khen KOC/nhân viên bán hàng của mình một cách vui","Tự xưng chiến thần khi chưa có số chứng minh; danh xưng này gắn với vài cá nhân cụ thể - dễ bị so",Chiến thần gói hàng của kho: 200 đơn một ca không lệch cái nào,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
tui-mu,"túi mù, xé túi mù",Túi đồ chơi ngẫu nhiên; trò mở túi bất ngờ,Blind bag; unboxing-roulette trend,commerce,Trend đồ chơi 2024 (baby three...),"Video, livestream, caption",fresh,safe,"Cơ chế bán hàng gamified (mua 5 món tặng 1 túi mù) - hợp F&B, phụ kiện, văn phòng phẩm","Giá trị túi quá thấp so với kỳ vọng - trend này sống bằng khoảnh khắc mở, chết bằng cảm giác bị lừa",Hoá đơn trên 150k được xé một túi mù của tiệm - trúng gì lấy đó,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
pov,POV,Định dạng video nhập vai (point of view),Point-of-view video format,format,TikTok toàn cầu 2020+,"TikTok, Reels",fresh,safe,"Mở đầu video nhập vai (POV: bạn là nhân viên mới ngày đầu ở tiệm bánh)","Dùng POV sai nghĩa (không phải góc nhìn ai cả) - lỗi phổ biến bị chính GenZ bắt bẻ",POV: bạn order món cay cấp 5 để ra oai với crush,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
storytime,storytime,Định dạng kể chuyện có thật dài kỳ,Story-time confession format,format,TikTok/YouTube toàn cầu,"TikTok, Reels, Threads",fresh,safe,"Kể chuyện nghề có thật (storytime: vị khách kỳ lạ nhất 10 năm mở quán)","Chuyện bịa - cộng đồng đào rất nhanh; chuyện có người thật phải đổi chi tiết nhận dạng",Storytime: cái ngày cả tiệm mất điện đúng giờ cao điểm,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
du-trend,"đu trend, bắt trend",Làm theo trào lưu đang nổi,Riding the trend,meta,Khẩu ngữ mạng phổ cập,"Mọi nền tảng",dated-stable,safe,"Nói về chính hành vi làm trend một cách tự giác (tiệm đu trend hơi trễ nhưng có tâm)","Đu mọi trend bất kể liên quan - thuật ngữ có sẵn cho lỗi này là trend-làm-cả-ý-tưởng trong content craft",Đu trend trễ 2 tuần nhưng bản của tiệm có twist riêng,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
du-idol,đu idol,"Theo đuổi thần tượng (đi concert, mua merch)",Active fandom life,meta,Fandom Kpop vào khẩu ngữ chung,"Caption, comment",dated-stable,safe,"Content bắt sóng mùa concert (menu tiếp sức cho hội đu idol về khuya)","Gắn tên idol cụ thể vào bán hàng khi không có quyền - rủi ro pháp lý hình ảnh","Combo mang đi cho hội đu concert: no bụng trước khi vào, tỉnh táo lúc về",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
he,hệ,"Kiểu phân loại bản thân nửa đùa (hệ tâm linh, hệ tiết kiệm, hệ cay)",Self-classification tag (the ""-type"" people),format,Chiêm tinh-tarot vào khẩu ngữ 2021+,"Caption, content series",fresh,safe,"Chia audience thành các hệ để làm content series (khách hệ ngọt gọi gì, hệ đắng gọi gì)","Phân loại mang tính chê (hệ nghèo...) - tự loại khách của mình",Menu này chia hai phe: hệ matcha và hệ cà phê - bạn phe nào?,recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
trom-via,trộm vía,Khen mà né vía xui (gốc dân gian thành tag phổ biến),Knock-on-wood praise,exclamation,Tín ngưỡng dân gian thành tag mạng 2021+,"Comment, caption, livestream mẹ và bé",dated-stable,safe,"Khen bé, khen kết quả kinh doanh, phản hồi khách khen - đặc biệt sống trong cộng đồng mẹ bỉm","Không đáng kể - một trong những từ an toàn nhất danh sách này","Trộm vía tháng đầu khai trương ngày nào cũng kín bàn, cảm ơn cả nhà",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
gut-chop,ơ mây zing gút chóp,Amazing good job phiên âm - khen (đã hết thời),Amazing-good-job phonetic (expired),exclamation,Rap Việt 2020 (Binz),"Không còn nền tảng nào hợp",expired,high,"Không dùng - giữ trong bảng làm mốc: từng phủ mọi feed 2020-2021, giờ đọc phát biết content học slang từ listicle cũ","Mọi ngữ cảnh 2026 - đây chính là ví dụ chuẩn của slang hết hạn làm lộ tuổi content",(mốc tham chiếu về vòng đời slang - không dùng),recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
bing-chilling,bing chilling,Kem (meme John Cena nói tiếng Trung) - đã hết thời,Ice-cream meme (expired),meme,Meme quốc tế 2021,Không còn hợp,expired,high,Không dùng - mốc tham chiếu vòng đời meme ngoại nhập: cháy nhanh hơn slang bản địa,"Mọi ngữ cảnh, kể cả bán kem",(mốc tham chiếu - không dùng),recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
xa-lo,ăn nói xà lơ,Nói sai/nói nhảm bị bắt bẻ ngay,Talking nonsense (called out instantly),exclamation,Clip livestream bé gái 2022,"Comment, video",aging,caution,"Bắt bẻ vui trong kịch bản video của chính team","Sửa lời khách thật bằng chữ này - thành chê khách; đang rơi dần khỏi đỉnh","Nhân vật A: món này chắc dễ làm. Cả bếp: ăn nói xà lơ",recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
skibidi,skibidi,Brainrot thiếu nhi quốc tế (vô nghĩa có chủ đích),Kid-brainrot nonsense term,meme,YouTube toàn cầu 2023+,Chỉ cộng đồng rất trẻ,fresh,high,"Nghe-hiểu khi audience dưới 16; gần như không có chỗ trong marketing VN nghiêm túc","Mọi brand nhắm ngoài nhóm thiếu niên - người lớn đọc không hiểu, phụ huynh đọc thấy phiền",(chỉ để nghe-hiểu cộng đồng rất trẻ),recall,"Recall, unverified 2026-08-07 - slang has a half-life; verify in live comment sections of the target audience before shipping"
