look_id,name_vi,name_en,family,origin,skin_finish,coverage_texture,brows,eyeshadow,liner_lashes,cheeks,contour_highlight,lips,palette_retouch,signature_tell,confused_with,discriminator,photographs_as,use_when,avoid_when,evidence_grade,source
era-1960s-mod,Mắt mod thập niên 1960,1960s mod eye,era,"London, 1960s","Flat matte, pale, deliberately undifferentiated",Full and even; the face is a background for the eye,"Soft, natural to slightly defined, kept quiet","Pale lid with a dark crease line painted above the natural socket, in the fold's place rather than in the fold — the cut crease's ancestor","Heavy upper liner, top and bottom lashes drawn on as separate spikes, sometimes with a white lower lid",Minimal or none,Neither,"Pale nude or beige, near-invisible, matte","High contrast, low saturation; black and white plus skin","A painted crease line sitting above the real socket, with drawn lower lashes and a blanked-out mouth",us-instagram-glam,Both cut the crease. Mod pairs it with a pale lip and no contour; Instagram glam pairs it with an overlined dark lip and heavy sculpting,"Graphic and flat, which is correct; a soft beauty light weakens it","Fashion heritage, eyewear, graphic brand worlds, retro collaborations","Any brief where the mouth matters, because this look removes it",craft-heuristic,"Recall, unverified 2026-07-30; check against 1960s fashion photography and Twiggy-era coverage"
era-1980s,Trang điểm thập niên 1980,1980s power,era,Western 1980s,"Matte, powdered",Full,"Thick, strong, barely groomed, straight to softly arched","Two or three saturated colours stacked from lash line to brow bone — blue, purple, teal — blended upward and outward with a hard outer edge","Bright or black liner top and bottom, sometimes coloured on the waterline; dense mascara","Bright pink or coral striped diagonally from the cheekbone up to the temple, edge visible",Little contour; highlight on the brow bone in a frosted white,"Bright fuchsia, coral or red, glossy or frosted, full and lined","Saturated, high contrast, warm",A diagonal blush stripe up to the temple with stacked colour blocks on the lid,ed-monochrome,Count the hues. The 1980s stacks several unrelated bright colours; monochrome repeats exactly one,"Loud under any light, which is authentic; hard flash suits it","Retro editorial, music and nightlife, deliberately maximalist campaigns","Any current beauty positioning, unless the irony is the point",craft-heuristic,"Recall, unverified 2026-07-30; check against 1980s magazine and album-art references"
era-1990s-grunge,Trang điểm grunge thập niên 1990,1990s grunge,era,Western 1990s,"Matte, slightly sallow, deliberately not glowing",Medium; under-eye shadow left visible or even deepened,"Thin, over-plucked, high-arched — the period's most dating feature","Brown, plum or grey smudged around the socket and the lower lid, edges left rough","Dark liner smudged into and below the lash line, worn-looking; lashes coated but not styled","Little or none, or a cool brown sweep that reads as shadow",Neither. Matteness throughout,"Brown, brick or deep plum, matte, hard-lined with a darker liner and a lighter fill","Desaturated, cool-brown, mid contrast, faintly underexposed","Thin high brow plus a hard-lined brown lip on a matte, deliberately tired face",ed-skin-first,"Grunge adds product to look tired; skin-first removes product to look real. One is a styling choice, the other is a refusal",Suits available light and film grain; studio beauty light removes the point,"Fashion nostalgia, music, streetwear, anti-glamour positioning",Beauty efficacy claims of any kind,craft-heuristic,"Recall, unverified 2026-07-30; check against 1990s fashion editorial and Corinne Day-era photography"
in-bridal-classic,Cô dâu Nam Á cổ điển,South Asian classical bridal,south-asian,South Asian wedding practice,"Satin, set on the T-zone, built to survive heat, hours and direct flash","Full, evened, with the neck, ears and chest matched because all three will be in frame","Strongly defined, arched, filled solid","Saturated jewel tones — gold, copper, emerald, deep red — with glitter or foil on the lid and a heavy blended outer V","Black kohl on the waterline and a defined winged liner; dense strip lashes, lower lash line lined","Warm rose or terracotta on the cheekbone, medium to strong","Both, clearly present; highlight kept off the forehead where flash finds it","Opaque red, berry or nude depending on the outfit, defined edge, long-wear finish","Warm, high contrast, gold-tolerant grade; retouch must not lighten the skin","Kohl on the waterline plus foiled jewel-tone lid, matched to a specific outfit rather than to a season",me-arabic-glam,Where the weight sits. South Asian bridal loads the lid with foil and colour keyed to the outfit; Arabic glam loads the outer corner and the lash line with a long blended smoke and usually a nude lip,Correct under direct flash and warm venue light; the foil needs a light source with some hardness to sparkle at all,"Bridal services, jewellery, textile and event marketing in South Asian markets","Everyday product positioning, and never lighten the skin tone in the grade",inferred,"Recall, unverified 2026-07-30; characterised from bridal portfolios rather than practitioner sources — have a regional artist review before publishing"
me-arabic-glam,Glam Ả Rập,Arabic glam,middle-eastern,Gulf and Levant beauty practice,"Satin, flawless, set; the base is expected to be perfect","Full, seamless, with a matched neck and a carefully blended jaw","Sharply defined with a clean tail and a straight front, often the strongest brow in the table","Deep blended smoke concentrated on the outer corner and running up toward the temple, often bronze, plum or charcoal, with shimmer on the centre lid","Heavy kohl inside the waterline, a long extended wing, dense multi-layer lashes; the lower lash line smoked to meet the wing","Bronzed rather than pink, placed along the cheekbone","Both, strong and precisely blended — the technical benchmark for sculpting in this table","Nude to rosewood, satin or matte, lined; the lip yields to the eye","Warm neutral, high contrast, sculpting protected in retouch","An extended outer-corner smoke that lifts toward the temple, above a deliberately quiet nude lip",us-instagram-glam,"The crease. Arabic glam blends the socket into a long smoke with no hard line; Instagram glam cuts the crease with concealer. Also the lip: nude here, overlined there",Holds up in close beauty crops because the blending is genuinely seamless; wants a soft key with a defined shadow side,"Gulf-market beauty, fragrance, luxury and event campaigns",Minimal or natural positioning; also check regional modesty and imagery norms before shooting,inferred,"Recall, unverified 2026-07-30; characterised from regional beauty media — verify with a regional artist and check local advertising norms"
af-deep-skin-editorial,Editorial cho da sâu màu,Deep-skin editorial,technical-inclusive,Contemporary beauty editorial correcting a documented industry failure,"Luminous, with the sheen placed where the bone is and nowhere flat, because deep skin shows a badly placed highlight instantly","Sheer to medium in a shade matched by undertone rather than by depth; an ashy or grey cast means the undertone is wrong, not the depth",Defined to taste; the register is set by the eye and lip,"Saturated pigment, because sheer washes disappear entirely — jewel tones, metallics and true brights all read where pastels do not",High-contrast liner if used; a mid-brown liner vanishes,"Berry, brick, terracotta or true red at genuine saturation; a pale pink turns chalky","Contour in a warm deeper tone, never grey; highlight in gold or copper, never a cool pearl, which reads as ash",Full saturation in any hue; deep skin carries a true red and a bright orange that lighter skin cannot,"Protect the undertone above all. Do not lighten, do not desaturate the skin, do not lift the shadows into grey",Nothing about the look is a style — it is the same grammar executed with pigment loads and undertones that actually work,us-soft-glam,"Not a rival look. This row exists because soft glam executed with default products fails on deep skin, and the failure gets blamed on the model","Needs more exposure latitude and often a second fill; metering for a mid-tone underexposes deep skin, which is the most common technical fault in beauty photography","Any campaign with deep-skin subjects, which should be most of them",Never avoid. The row to skip is the one that pretends a default palette is universal,craft-heuristic,"Recall, unverified 2026-07-30; the underexposure and grey-contour failures are widely documented — check Nyome and Fenty-era coverage plus a working artist"
sea-luminous-humid,Trang điểm hợp khí hậu ẩm,South-East Asian humidity-proof luminous,south-east-asian,"Practical adaptation across Vietnam, Thailand, Malaysia, Indonesia and the Philippines","Satin, set on the T-zone, with glow placed as product on the cheekbone rather than as a general dew","Light to medium, thin layers, because a heavy base slides within an hour",Waterproof and defined; a pencil brow is the first thing humidity removes,"Cream or gel that grips, or powder over a primer; loose glitter is a mistake here","Waterproof and tubing formulas assumed; tightline rather than a wing, which smudges into the crease",Cream under powder so the colour survives a sweat,"Light, cream-based; powder contour in humidity streaks","Tint or stain rather than lipstick, so it survives eating and heat","Warm, mid contrast; retouch expects visible sheen and should not flatten it","Every formula choice is driven by 80% humidity, and the look is designed to fail gracefully",kr-mul-gwang,"Mul-gwang wants the base wet everywhere; this sets the T-zone flat and places glow only on bone, because in this climate an all-over dew becomes shine within the hour",Honest in daylight; expect to shoot early and to retouch actual sweat rather than pretend it away,"Vietnamese and regional shoots, outdoor location work, long-wear and sunscreen claims",Studio-controlled dewy beauty where the humidity constraint does not apply,inferred,"Recall, unverified 2026-07-30; assembled from regional practice and climate constraints, not from a published standard"
us-bronzed-sunkissed,Da rám nắng,Bronzed sun-kissed,western-commercial,"Western summer beauty, recurring","Satin with a warm sheen concentrated on the cheekbone, nose bridge and shoulder","Sheer to medium, warm-shifted; the neck, ears and chest must match or the tan reads as a mask","Soft, brushed up, warm brown","Bronze or copper wash on the lid, nothing in the crease",None or brown; lashes coated once,"Warm coral or terracotta over the bronzer, placed high","Bronzer used as both, following where sun would actually fall — temple, cheekbone, jaw, nose bridge","Warm nude, caramel or peach, gloss or balm","Warm, mid contrast; faux freckles kept in retouch if present","Warmth follows a plausible sun path rather than a contour map, and the body matches the face",us-latte,Bronzed places warmth where sun lands and leaves the eye simple; latte builds a full brown-toned eye and lip as a colour story rather than as a tan,Suits hard directional light and a warm grade; cool grades turn bronzer orange,"Sun care, self-tan, summer, swim, holiday campaigns","Brightening and whitening claims, and any market where tanned skin carries the wrong class coding — check locally",craft-heuristic,"Recall, unverified 2026-07-30; check current market coding of tanned skin, which differs sharply between Western and East Asian markets"
us-latte,Trang điểm nâu latte,Latte makeup,western-commercial,"Western social beauty, 2023","Satin, warm, low shine","Medium, evened, warm-shifted","Defined, warm brown, brushed","Layered browns — espresso in the outer corner, caramel through the socket, cream on the lid — all in one warm family","Brown liner smudged, brown mascara; black would break the palette","Warm brown-rose, low on the cheekbone","Warm contour, champagne highlight",Brown-nude with a defined liner and a gloss centre,"Warm monochrome brown, mid contrast","Every element is a brown of a different value, including the mascara",ed-monochrome,Latte is a specific hue family with commercial grammar; monochrome tonal is the general technique and can use any hue. Latte is one instance of it that got a name,Reads as muddy under a cool grade or low light; needs warm light and accurate colour,"Autumn campaigns, neutral palettes, brown-toned product launches",When a look needs to stay current for more than a season — this one is dated to 2023,industry-primary,"Recall, unverified 2026-07-30; the term is documented in 2023 beauty press — check whether it still reads as current before using the name in a brief"
us-siren-eye,Mắt siren,Siren eye,western-commercial,"Western social beauty, 2023 onward","Satin, restrained; the eye shape is the device",Medium,"Defined with a lifted tail, supporting the elongation","Deep shadow concentrated at the outer third and pulled outward and slightly down, then lifted at the very tip; the inner corner left bare and bright","Liner thin at the inner corner, thickening through the outer third and extending outward almost horizontally; lashes weighted at the outer corner only",Placed high and drawn toward the temple to continue the outward line,Highlight at the inner corner and on the brow bone tail to exaggerate the length,"Nude to rosewood, quiet","Neutral, mid to high contrast","Weight is entirely at the outer corner and the inner corner is deliberately empty, so the eye reads long rather than round",jp-ulzzang-doll,Exact opposites in placement. Siren empties the inner corner and loads the outer; doll-eye loads the centre and brightens the inner corner. Find the heaviest point of the liner,Wants a three-quarter face angle; head-on it flattens and the elongation is lost,"Liner, mascara and lash product; anything selling a sharper register","Youth and cute positioning, where the elongation reads as severe",craft-heuristic,"Recall, unverified 2026-07-30; the term is recent social-media vocabulary — verify it is still in use before putting it in a brief"
us-blush-draping,Má hồng phủ kiểu draping,Blush draping,western-commercial,"Attributed to Way Bandy, 1970s; revived repeatedly",Satin to soft matte,"Medium, even, so the drape reads as a single sweep","Soft, secondary","The blush itself carried onto the lid, or nothing",Minimal,"One colour swept from under the cheekbone up over the cheekbone and onto the temple in a continuous C, replacing both blush and contour","Neither, as separate products. The drape does both jobs at once","In the drape's hue family, satin","One dominant hue, mid contrast, the sweep kept continuous in retouch","Blush and contour are the same product in one continuous sweep up to the temple, with no separate shading",era-1980s,The 1980s diagonal stripe has a visible edge and sits alongside other bright colours; draping is a soft continuous C and is usually the only colour on the face,Needs even frontal light so the sweep does not read as a shadow,"Blush launches, colour-story work, 1970s references","Anywhere a defined contour is expected, such as bridal",industry-primary,"Recall, unverified 2026-07-30; the attribution to Way Bandy is commonly repeated — verify it before printing the name"
perf-drag,Trang điểm drag,Drag,performance,Drag performance tradition,"Matte, fully set, built to survive hours of stage heat",Full and layered; the face is repainted rather than corrected,"Natural brows blocked out with glue and paint, then a new brow drawn far higher, which is what buys the enlarged lid","Large blended gradient occupying the whole space up to the drawn brow, saturated, often with glitter and a hard highlight","Long graphic wing well past the outer corner, lower liner drawn below the natural lash line to enlarge the eye, stacked lashes","Strong, high, drawn toward the temple","Both at maximum strength, in shapes that restructure the whole face rather than describe it","Overdrawn well past the natural border, opaque, often with a highlighted centre","High contrast, saturated; retouch respects the paint as intentional and does not soften it","The brow is drawn above where a brow can grow, and the whole face is scaled up to match",perf-theatre,"Drag restructures the face into a different one; theatre makeup exaggerates the existing face so it reads from row twenty. One transforms, the other amplifies",Correct under stage light and in performance documentation; in a soft beauty crop the block-out shows,"Performance, nightlife, pride and queer-culture campaigns, artistic collaboration",As a costume or a joke. This is a professional craft tradition with a specific community history,craft-heuristic,"Recall, unverified 2026-07-30; check with a working drag artist before executing, and credit the tradition"
perf-theatre,Trang điểm sân khấu kịch,Theatre distance makeup,performance,"Stage practice, scaled to auditorium distance","Matte, fully powdered against stage-light sweat","Full, one to two shades warmer than natural, because stage light drains colour",Extended and strengthened so the expression carries,"Simple and strong: a light lid, a dark socket, a highlight on the brow bone, all exaggerated because detail is lost at distance",Heavy dark liner top and bottom with a white or pale line inside the waterline to keep the eye open at distance,Strong and placed clearly on the cheekbone,"Both, drawn as explicit planes; the point is to rebuild the shadows the flat front light removes","Opaque and clearly bordered, one step stronger in colour than natural","Not a photographic look; if photographed, expect a heavy read and grade for the stage light","Structure is painted back onto a face that flat front light has erased, at a scale meant to be seen from twenty metres",kr-idol-stage,Theatre is scaled for the naked eye at distance and looks crude in a close-up; idol stage is scaled for a broadcast camera and holds together at mid-shot,Wrong for any still or close frame. Only correct in performance documentation from house distance,"Theatre, opera and dance marketing where the performance image is the asset",Any beauty or product frame,craft-heuristic,"Recall, unverified 2026-07-30; check against stage-makeup textbooks, which document the distance scaling explicitly"
perf-broadcast-hd,Trang điểm truyền hình HD,HD broadcast,performance,Television practice after the move to high definition,"Satin with no shine on the forehead, nose or chin, because studio light finds all three",Light to medium and finely milled; HD resolves a heavy base as a visible layer,Groomed and defined but not drawn; a hard pencil line reads as a line at HD,Matte neutrals; shimmer sparkles distractingly under studio light,Soft-edged liner and natural lashes; a strip lash band shows,"Medium, well diffused, warm enough to survive the light drain","Very light contour with no visible edge; no baked highlight, which flares","Satin, mid depth, no gloss — gloss creates a moving specular hit","Neutral, mid contrast, colour-accurate; broadcast has no retouch pass, so the makeup is the finish","Every choice is subtractive — nothing shiny, nothing hard-edged, nothing that sparkles — because there is no retouch to fix it later",us-soft-glam,"Soft glam allows a dewy cheekbone and a gloss; HD broadcast forbids both, because they move and flare under a fixed studio key",Correct under a three-point studio setup at high resolution; slightly plain in a still beauty crop,"Presenter, spokesperson, webinar, corporate video, PR interview",Beauty stills where flatness reads as underdressed,craft-heuristic,"Recall, unverified 2026-07-30; check against broadcast makeup guidance from a working television artist"
tech-flashback-safe,Tránh bệt trắng khi chụp flash,Flashback-safe base,technical,"A photographic failure mode, not a style","Any finish, provided the products carry no light-scattering mineral filter where flash will hit","Any coverage, but every product in the base has to be checked, not just the foundation",Unaffected,Unaffected,Unaffected,Unaffected,Setting powder is the usual culprit; a translucent powder heavy in titanium dioxide or zinc oxide is the single most common cause,Unaffected,A grey-white cast on the T-zone that no grade fixes cleanly; this has to be prevented on set,"The face photographs grey-white and lighter than the neck under flash, while looking correct to the eye",jp-classical-white,"Not a look at all. If a face reads white under flash and normal in daylight, it is flashback; if it reads white in both, it is intentional","The whole point. Test with the actual flash before the subject is in wardrobe, not after","Any shoot using flash — event, bridal, PR, red carpet, press","Never skip. Also check SPF in the base, which causes the same cast",physics,"Recall, unverified 2026-07-30; the mechanism is mineral filters reflecting the flash back to the lens, which is a known optical effect rather than an opinion"
tech-ecommerce-swatch,Chụp swatch cho thương mại điện tử,E-commerce swatch legibility,technical,Product-listing photography requirements,"Bare skin only, matte, on the arm or the lip; a base under a swatch changes the colour",None. Any coverage under the swatch invalidates it,Not in frame,"Swatched as drawn-down stripes of even thickness with visible gaps, on bare skin, in one pass","Swatched as a drawn line at product width, not smudged","Swatched both sheer and built up, so the buyer sees the range rather than one point",Not applicable,"Applied full-opacity to a bare lip with no liner and no gloss, since both shift the shade","Colour accuracy above everything. Grey-card the shot and do not adjust saturation. A retouched swatch is a returns problem and, if it misstates the shade, a claims problem","Bare skin, even stripes, one light, a grey card in the first frame",tech-before-after,"A swatch proves what the colour is; a before-and-after proves what a product did. Different claims, different evidence, and they are not interchangeable","One consistent light and one white balance across the whole range, or shades cannot be compared to each other","Product listings, shade ranges, palette launches, marketplace assets","As a beauty asset. A swatch is evidence, not a mood",industry-primary,"Recall, unverified 2026-07-30; marketplace image requirements are published by each platform — read the live spec rather than this row"
tech-before-after,Ảnh trước và sau,Before-and-after honesty,technical,An advertising-compliance constraint expressed as a makeup and lighting brief,"The before and the after must differ only by the product. Same finish logic, same skin prep otherwise","If the after adds base coverage, the frame proves coverage and nothing else","Identical in both, or the pair is not comparable",Identical in both unless the eye product is the subject,"For a mascara or lash claim, the before must be genuinely bare — no curler, no clear coat, no fibre",Identical in both,Identical in both. A highlight added only to the after is the most common way these frames cheat,Identical in both unless the lip product is the subject,"Same crop, same distance, same lens, same light, same exposure, same grade, same retouch level. Log all eight, because a regulator will ask","Only one variable changes between the two frames, and the change is the product",tech-ecommerce-swatch,A before-and-after asserts causation and needs the pair controlled; a swatch asserts only colour. Confusing them produces an unsupportable claim,Shoot the before and the after in the same session under a locked setup; never reconstruct a before afterwards,"Efficacy claims, skincare, treatment, clinic, lash and brow services",Whenever the pair cannot be controlled. Then it is not evidence and the claim has to be dropped. Log it in the claims ledger either way,industry-primary,"Recall, unverified 2026-07-30; before-and-after rules are set by each market's advertising regulator — read the live local rule, not this row"
ed-faux-freckle,Vẽ tàn nhang,Faux freckles,editorial,"Western social and editorial beauty, 2018 onward","Sheer and satin, because a freckle drawn on a full base reads as a dot on paint","Sheer, so real texture supports the drawn marks","Soft, brushed",Minimal,Minimal,"Cream, under or over the freckles depending on how sunken they should read","Light bronzer following a sun path, since freckles imply sun",Balm or tint,"Warm, mid contrast; keep the freckles varied in size and density in retouch","Marks cluster where sun lands — nose bridge and upper cheek — at irregular sizes, and thin out toward the jaw",us-bronzed-sunkissed,"Freckles are discrete marks; bronzing is a continuous wash. They pair well, and evenly spaced same-size dots are how a faked freckle gives itself away",Wants soft daylight; hard light makes the drawn marks look like dirt,"Youth, natural positioning, sun care, tint launches","Skincare treating pigmentation, where drawing on the thing the product removes is incoherent",craft-heuristic,"Recall, unverified 2026-07-30; check current market reading, which has shifted between charming and dated"
us-cat-eye,Mắt mèo,Cat eye,western-commercial,"Western, continuous since the 1950s",Any; the liner is the device,"Medium, even, so the wing has a clean ground","Defined with a lifted tail, echoing the wing","Neutral, or a soft outer-corner deepening; the lid stays quiet under the liner","Liner thin at the inner corner, thickening through the outer third, then flicked up and out past the corner at a clear angle; lashes weighted outward","Cheekbone, medium, blended toward the ear",Light; a highlight under the wing's tail sharpens it,"Free. A nude keeps the eye dominant, a red makes the pair the whole look","Neutral to warm, mid to high contrast, the wing edge kept crisp","Liner is thickest in the outer third and leaves the eye entirely, flicking upward",us-siren-eye,"The angle of the exit. A cat eye flicks up; a siren eye extends nearly horizontally and empties the inner corner, which the cat eye does not bother to do","Reads at any size and under most light, which is why it has never gone away","Liner launches, classic and confident registers, anything that needs one legible device","Cute and youth positioning, and any frame where the eye will be closed or downcast",craft-heuristic,"Recall, unverified 2026-07-30; check against makeup-history references for the 1950s origin claim"
kr-crying-eye,Mắt như vừa khóc,Crying eye,korean,"Korean social beauty, 2022 onward","Satin, dewy on the cheekbone","Light, with the under-eye left uncorrected so the pink reads","Soft straight, low contrast","Pink or coral washed onto the lid, the inner corner and the lower lash line, plus a wet-look gloss or pearl on the centre lid so the eye looks glazed","Tightline only; the lower waterline brightened rather than lined, lashes softly clumped at the inner corner",Pink drawn up onto the under-eye and across the nose bridge,"Pearl on the inner corner, the nose tip and the cupid's bow — the three places a real tear would catch light","Pink tint, glossy, blurred","Cool pink, low contrast, high-key; the glaze must survive retouch","A glazed wet lid over pink under-eye and nose, so the face reads as if it has just stopped crying",us-under-eye-blush,The lid. Crying eye glazes it wet and brightens the waterline; under-eye blush leaves the lid dry and does nothing to the waterline,Needs a small hard source to make the glaze catch; under flat light it reads as an unfinished face,"Youth, K-beauty, gloss and blush launches, emotive storytelling","Authority, clinical, corporate, and markets where the reference reads as distressing rather than sweet",craft-heuristic,"Recall, unverified 2026-07-30; recent and fast-moving — verify it is still current before naming it in a brief"
us-abg,Trang điểm ABG,ABG (Asian Baby Girl),western-commercial,"Asian-American subculture, California 2010s; revived and softened on TikTok early 2020s","Matte to satin, bronzed a step deeper than the neck admits","Full and sculpted; the tan is part of the look, not a correction","Straight to soft arch, filled solid, squared front, crisp tail","Bronze and copper smoked outward, shimmer or glitter on the centre lid","Sharp elongated black wing, tightlined; dramatic wispy strip lashes long enough to read at arm's length","Bronzer-led; blush minimal, warmth comes from contour","Heavy visible contour, nose sculpted, cheekbone cut; golden highlight on the high points","Overlined matte nude-brown or mauve, ombre toward the centre acceptable","Warm bronzed grade, high contrast, sharpened","The wing and the brow carry the look: hard black elongated liner over bronzed monochrome warmth, straight brow, nude-brown lip",us-instagram-glam,"Both are heavy glam. ABG runs bronzed-monochrome with a harder longer wing, straighter brow and nude-brown lip; Instagram glam runs cut-crease colour, arched brow and a concealer-bright under-eye",Reads at phone distance and in club or neon light; soft daylight exposes the lash band and contour edges,"Streetwear, nail-lash-brow studios, boba and nightlife brands, diaspora-adjacent fashion social; pairs with pin-straight hair and money pieces","Bridal, corporate, skincare-truth briefs, any brand claiming barefaced natural",craft-heuristic,"Recall, unverified 2026-08-07; check current TikTok and Instagram ABG creators — the look has softened toward clean-girl hybrids since 2022"
